/Display_name,/Product_code,/Version
gnupg,,2.2.4-1ubuntu1.4
gnupg-l10n,,2.2.4-1ubuntu1.4
gnupg-utils,,2.2.4-1ubuntu1.4
golang-docker-credential-helpers,,0.5.0-2
google-chrome-stable,,96.0.4664.45-1
gpg,,2.2.4-1ubuntu1.4
gpg-agent,,2.2.4-1ubuntu1.4
gpg-wks-client,,2.2.4-1ubuntu1.4
gpg-wks-server,,2.2.4-1ubuntu1.4
gpgconf,,2.2.4-1ubuntu1.4
gpgsm,,2.2.4-1ubuntu1.4
gpgv,,2.2.4-1ubuntu1.4
graphviz,,2.40.1-2
grep,,3.1-2
grilo-plugins-0.3-base:amd64,,0.3.5-1ubuntu1
groff-base,,1.22.3-10
groovy,,2.4.15-1ubuntu1
grub-common,,2.02-2ubuntu8.23
grub-gfxpayload-lists,,0.7
grub-pc,,2.02-2ubuntu8.23
grub-pc-bin,,2.02-2ubuntu8.23
grub2-common,,2.02-2ubuntu8.23
gsettings-desktop-schemas,,3.28.0-1ubuntu1
gsettings-ubuntu-schemas,,0.0.7+17.10.20170922-0ubuntu1
gsfonts,,1:8.11+urwcyr1.0.7~pre44-4.4
gstreamer1.0-alsa:amd64,,1.14.5-0ubuntu1~18.04.3
gstreamer1.0-clutter-3.0:amd64,,3.0.26-1
gstreamer1.0-gl:amd64,,1.14.5-0ubuntu1~18.04.3
gstreamer1.0-gtk3:amd64,,1.14.5-0ubuntu1~18.04.2
gstreamer1.0-packagekit,,1.1.9-1ubuntu2.18.04.6
gstreamer1.0-plugins-base:amd64,,1.14.5-0ubuntu1~18.04.3
gstreamer1.0-plugins-base-apps,,1.14.5-0ubuntu1~18.04.3
gstreamer1.0-plugins-good:amd64,,1.14.5-0ubuntu1~18.04.2
gstreamer1.0-pulseaudio:amd64,,1.14.5-0ubuntu1~18.04.2
gstreamer1.0-tools,,1.14.5-0ubuntu1~18.04.2
gstreamer1.0-x:amd64,,1.14.5-0ubuntu1~18.04.3
gtk-update-icon-cache,,3.22.30-1ubuntu1
gtk2-engines-murrine:amd64,,0.98.2-2ubuntu1
gtk2-engines-pixbuf:amd64,,2.24.32-1ubuntu1
guile-2.0-libs:amd64,,2.0.13+1-5build2
gvfs:amd64,,1.36.1-0ubuntu1.3.3
gvfs-backends,,1.36.1-0ubuntu1.3.3
gvfs-bin,,1.36.1-0ubuntu1.3.3
gvfs-common,,1.36.1-0ubuntu1.3.3
gvfs-daemons,,1.36.1-0ubuntu1.3.3
gvfs-fuse,,1.36.1-0ubuntu1.3.3
gvfs-libs:amd64,,1.36.1-0ubuntu1.3.3
gyp,,0.1+20150913git1f374df9-1ubuntu1
gzip,,1.6-5ubuntu1
hdparm,,9.54+ds-1
hicolor-icon-theme,,0.17-2
hostname,,3.20
hplip,,3.17.10+repack0-5
hplip-data,,3.17.10+repack0-5
humanity-icon-theme,,0.6.15
hunspell-en-us,,1:2017.08.24
hyphen-en-us,,2.8.8-5
ibus,,1.5.17-3ubuntu5.3
ibus-gtk:amd64,,1.5.17-3ubuntu5.3
ibus-gtk3:amd64,,1.5.17-3ubuntu5.3
ibus-table,,1.9.14-3
ifupdown,,0.8.17ubuntu1
iio-sensor-proxy,,2.4-2
im-config,,0.34-1ubuntu1
imagemagick,,8:6.9.7.4+dfsg-16ubuntu6.11
imagemagick-6-common,,8:6.9.7.4+dfsg-16ubuntu6.11
imagemagick-6.q16,,8:6.9.7.4+dfsg-16ubuntu6.11
info,,6.5.0.dfsg.1-2
init,,1.51
init-system-helpers,,1.51
initramfs-tools,,0.130ubuntu3
initramfs-tools-bin,,0.130ubuntu3
initramfs-tools-core,,0.130ubuntu3
inputattach,,1:1.6.0-2
install-info,,6.5.0.dfsg.1-2
intel-microcode,,3.20210608.0ubuntu0.18.04.1
intltool-debian,,0.35.0+20060710.4
ippusbxd,,1.32-2
iproute2,,4.15.0-2ubuntu1.1
iptables,,1.6.1-2ubuntu2
iputils-arping,,3:20161105-1ubuntu2
iputils-ping,,3:20161105-1ubuntu2
iputils-tracepath,,3:20161105-1ubuntu2
irqbalance,,1.3.0-0.1
isc-dhcp-client,,4.3.5-3ubuntu7.3
isc-dhcp-common,,4.3.5-3ubuntu7.3
iso-codes,,3.79-1
iucode-tool,,2.3.1-1
ivy,,2.4.0-3
iw,,4.14-0.1
java-common,,0.68ubuntu1~18.04.1
javascript-common,,11
jenkins,,2.307
jq,,1.5+dfsg-2
junit4,,4.12-6
kbd,,2.0.4-2ubuntu1
kerneloops,,0.12+git20140509-6ubuntu2
keyboard-configuration,,1.178ubuntu2
klibc-utils,,2.0.4-9ubuntu2
kmod,,24-1ubuntu3
krb5-locales,,1.16-2ubuntu0.2
kubeadm,,1.22.2-00
kubectl,,1.22.2-00
kubelet,,1.22.2-00
kubernetes-cni,,0.8.7-00
language-pack-en,,1:18.04+20190718
language-pack-en-base,,1:18.04+20180423
language-pack-gnome-en,,1:18.04+20190718
language-pack-gnome-en-base,,1:18.04+20180423
language-selector-common,,0.188
language-selector-gnome,,0.188
laptop-detect,,0.16
less,,487-0.1
libaa1:amd64,,1.4p5-44build2
libabw-0.1-1:amd64,,0.1.2-1ubuntu1
libaccountsservice0:amd64,,0.6.45-1ubuntu1.3
libacl1:amd64,,2.2.52-3build1
libaio1:amd64,,0.3.110-5ubuntu0.1
libalgorithm-diff-perl,,1.19.03-1
libalgorithm-diff-xs-perl,,0.04-5
libalgorithm-merge-perl,,0.08-3
libann0,,1.1.2+doc-6
libantlr-java,,2.7.7+dfsg-9.2
libao-common,,1.2.2+20180113-1ubuntu1
libao4:amd64,,1.2.2+20180113-1ubuntu1
libapache-pom-java,,18-1
libapache2-mod-wsgi-py3,,4.5.17-1
libapparmor1:amd64,,2.12-4ubuntu5.1
libappindicator3-1,,12.10.1+18.04.20180322.1-0ubuntu1
libappstream-glib8:amd64,,0.7.7-2
libappstream4:amd64,,0.12.0-3
libapr1:amd64,,1.6.3-2
libaprutil1:amd64,,1.6.1-2
libaprutil1-dbd-sqlite3:amd64,,1.6.1-2
libaprutil1-ldap:amd64,,1.6.1-2
libapt-inst2.0:amd64,,1.6.12ubuntu0.2
libapt-pkg-perl,,0.1.33build1
libapt-pkg5.0:amd64,,1.6.12ubuntu0.2
libarchive-zip-perl,,1.60-1ubuntu0.1
libarchive13:amd64,,3.2.2-3.1ubuntu0.7
libargon2-0:amd64,,0~20161029-1.1
libart-2.0-2:amd64,,2.3.21-3
libasan4:amd64,,7.5.0-3ubuntu1~18.04
libasm-java,,6.0-1
libasn1-8-heimdal:amd64,,7.5.0+dfsg-1
libasound2:amd64,,1.1.3-5
libasound2-data,,1.1.3-5
libasound2-plugins:amd64,,1.1.1-1ubuntu1
libaspell15:amd64,,0.60.7~20110707-4ubuntu0.2
